proposal_count,images,mean_improvement_km,median_improvement_km,q25_improvement_km,q75_improvement_km,improved_rate,worsened_rate,unchanged_rate,mean_union_coverage
0,947,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,889,-843.5090897054428,0.0,-342.7497408407352,0.0056098545424305,0.25196850393700787,0.4465691788526434,0.3014623172103487,0.4758638568616423
2,392,-601.0353829156103,0.0,-390.8989284499826,0.018315354228115026,0.2576530612244898,0.45918367346938777,0.28316326530612246,0.5203184789540817
3,258,-986.6626163705881,0.0,-888.8260447633323,0.12082522496999686,0.2713178294573643,0.49612403100775193,0.23255813953488372,0.5062378875968992
4,151,-583.2183039489024,0.0,-399.83746129344433,0.038933324370967,0.26490066225165565,0.46357615894039733,0.271523178807947,0.5112531043046358
5,119,-511.066514078776,0.0,-307.5472768911791,0.13756121738869478,0.2689075630252101,0.46218487394957986,0.2689075630252101,0.5156578256302521
6,70,-1464.3622611217954,-2.005501604168914,-1628.2232612794382,0.0,0.17142857142857143,0.5285714285714286,0.3,0.5103794642857142
7,52,-870.1693166347061,-0.23325196013117183,-1504.3774521730807,0.0,0.23076923076923078,0.5192307692307693,0.25,0.5243389423076923
8,41,-3143.8060475209504,-303.4862585754237,-5793.363044924406,0.0,0.14634146341463414,0.6097560975609756,0.24390243902439024,0.5124809451219512
9,19,-118.07516246019846,0.0,-60.820555558500615,184.42950800406524,0.47368421052631576,0.3684210526315789,0.15789473684210525,0.5542763157894737
10,15,-699.4051916167681,0.0,-524.9036364592907,34.78212830966794,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.5864583333333333
11,18,-657.1821422793682,0.0,-80.96085968180172,33.323197467574246,0.3888888888888889,0.4444444444444444,0.16666666666666666,0.5551215277777778
12,8,2088.4038349407515,-182.60010283491204,-783.4622807296364,2530.5431185854395,0.25,0.625,0.125,0.6259765625
13,4,1132.4541998664847,-0.034989652547518256,-412.0851336638491,1544.5043438777861,0.5,0.5,0.0,0.5908203125
14,3,-219.04139856800654,-33.03438671361791,-329.4172412891848,-15.662049919633954,0.3333333333333333,0.6666666666666666,0.0,0.6328125
15,2,-4973.625835801925,-4973.625835801925,-7940.608978092354,-2006.6426935114955,0.5,0.5,0.0,0.27734375
16,3,-1203.1736884273225,-0.2356738726110396,-1804.7605326409835,-0.1178369363055198,0.0,0.6666666666666666,0.3333333333333333,0.4583333333333333
17,1,-3140.0052513232863,-3140.0052513232863,-3140.0052513232863,-3140.0052513232863,0.0,1.0,0.0,0.4921875
19,3,-217.48587306692082,-215.16243312483093,-326.2288096003812,-107.58121656241546,0.0,0.6666666666666666,0.3333333333333333,0.5703125
20,1,-6760.848994891398,-6760.848994891398,-6760.848994891398,-6760.848994891398,0.0,1.0,0.0,0.390625
24,1,-2136.998333843375,-2136.998333843375,-2136.998333843375,-2136.998333843375,0.0,1.0,0.0,0.296875
