images,improved,worsened,unchanged,mean_improvement_km,latitude,longitude,improved_rate,worsened_rate,unchanged_rate,net_outcome_rate
8,0,1,7,-979.5961943795749,-52.5,-70.0,0.0,0.125,0.875,-0.125
16,5,5,6,-1691.0532280167045,-37.5,-70.0,0.3125,0.3125,0.375,0.0
19,4,13,2,-3424.8022567240837,-37.5,-50.0,0.21052631578947367,0.6842105263157895,0.10526315789473684,-0.47368421052631576
16,2,9,5,-1774.5476017835772,-37.5,10.0,0.125,0.5625,0.3125,-0.4375
4,3,1,0,-164.53879862165923,-37.5,30.0,0.75,0.25,0.0,0.5
5,1,2,2,-1342.009142457176,-37.5,110.0,0.2,0.4,0.4,-0.2
21,3,7,11,-1911.9656225270273,-37.5,150.0,0.14285714285714285,0.3333333333333333,0.5238095238095238,-0.19047619047619047
1,0,0,1,0.0,-37.5,170.0,0.0,0.0,1.0,0.0
15,1,3,11,642.470300076046,-22.5,-70.0,0.06666666666666667,0.2,0.7333333333333333,-0.13333333333333333
10,1,2,7,230.19574945305675,-22.5,-50.0,0.1,0.2,0.7,-0.1
5,2,2,1,175.8500333446865,-22.5,10.0,0.4,0.4,0.2,0.0
9,1,2,6,-794.5552874916718,-22.5,30.0,0.1111111111111111,0.2222222222222222,0.6666666666666666,-0.1111111111111111
6,2,1,3,23.500971930218324,-22.5,130.0,0.3333333333333333,0.16666666666666666,0.5,0.16666666666666666
6,2,2,2,-196.40169428317026,-22.5,150.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
1,0,0,1,0.0,-22.5,170.0,0.0,0.0,1.0,0.0
2,0,1,1,-11.627612363339676,-7.5,-90.0,0.0,0.5,0.5,-0.5
16,0,5,11,-1892.158773484969,-7.5,-70.0,0.0,0.3125,0.6875,-0.3125
4,0,1,3,-45.97048516486499,-7.5,30.0,0.0,0.25,0.75,-0.25
8,1,2,5,-1478.8702520266015,-7.5,50.0,0.125,0.25,0.625,-0.125
9,0,6,3,-928.4710207163304,-7.5,110.0,0.0,0.6666666666666666,0.3333333333333333,-0.6666666666666666
1,0,0,1,0.0,-7.5,130.0,0.0,0.0,1.0,0.0
1,0,0,1,0.0,-7.5,150.0,0.0,0.0,1.0,0.0
9,5,1,3,2448.425572986082,7.5,-90.0,0.5555555555555556,0.1111111111111111,0.3333333333333333,0.4444444444444444
29,6,8,15,-1132.2129582193593,7.5,-70.0,0.20689655172413793,0.27586206896551724,0.5172413793103449,-0.06896551724137931
12,1,8,3,-2504.374720298903,7.5,-10.0,0.08333333333333333,0.6666666666666666,0.25,-0.5833333333333334
5,0,2,3,-58.4269747049485,7.5,50.0,0.0,0.4,0.6,-0.4
2,1,1,0,-879.1046193858791,7.5,70.0,0.5,0.5,0.0,0.0
