proposal_count,images,mean_improvement_km,median_improvement_km,q25_improvement_km,q75_improvement_km,improved_rate,worsened_rate,unchanged_rate,mean_union_coverage
0,946,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,889,-843.5051962892338,0.0,-342.7497408407352,0.0080823088195793,0.2530933633295838,0.4454443194600675,0.3014623172103487,0.4758814327896513
2,393,-616.2805854222634,0.0,-385.37165294427007,0.016623949560484,0.25699745547073793,0.46055979643765904,0.2824427480916031,0.5191833651399491
3,259,-982.8531081992732,0.0,-879.9784848705453,0.1195618654155056,0.2702702702702703,0.4942084942084942,0.23552123552123552,0.5051128137065637
4,150,-587.1064259752285,0.0,-412.24086978125763,0.049148456530831254,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.5128385416666666
5,120,-509.72994805083937,0.0,-290.11521970314163,0.1768588704874216,0.275,0.4583333333333333,0.26666666666666666,0.5119791666666667
6,69,-1459.2321689194953,-0.3017966403228342,-1612.3640850732245,0.0,0.17391304347826086,0.5217391304347826,0.30434782608695654,0.5159080615942029
7,52,-809.2861147003659,-0.0540464985201947,-1344.3388240506138,0.0,0.23076923076923078,0.5,0.2692307692307692,0.5258413461538461
8,41,-3221.0237670474303,-383.6666223419869,-5793.363044924406,0.0,0.14634146341463414,0.6341463414634146,0.21951219512195122,0.5104801829268293
9,19,-118.07516246019846,0.0,-60.820555558500615,184.42950800406524,0.47368421052631576,0.3684210526315789,0.15789473684210525,0.5542763157894737
10,16,-703.7206079813948,-0.2794011188001331,-602.2673327144875,17.39106415483397,0.25,0.5,0.25,0.579833984375
11,17,-654.1348653871397,0.0,-15.75351249842862,44.30199384475496,0.4117647058823529,0.4117647058823529,0.17647058823529413,0.5344669117647058
12,8,2088.4038349407515,-182.60010283491204,-783.4622807296364,2530.5431185854395,0.25,0.625,0.125,0.6259765625
13,4,1132.4541998664847,-0.034989652547518256,-412.0851336638491,1544.5043438777861,0.5,0.5,0.0,0.5908203125
14,3,-219.04139856800654,-33.03438671361791,-329.4172412891848,-15.662049919633954,0.3333333333333333,0.6666666666666666,0.0,0.6328125
15,2,-4973.625835801925,-4973.625835801925,-7940.608978092354,-2006.6426935114955,0.5,0.5,0.0,0.27734375
16,3,-1203.1736884273225,-0.2356738726110396,-1804.7605326409835,-0.1178369363055198,0.0,0.6666666666666666,0.3333333333333333,0.4583333333333333
17,1,-3140.0052513232863,-3140.0052513232863,-3140.0052513232863,-3140.0052513232863,0.0,1.0,0.0,0.4921875
19,3,-217.48587306692082,-215.16243312483093,-326.2288096003812,-107.58121656241546,0.0,0.6666666666666666,0.3333333333333333,0.5703125
20,1,-6760.848994891398,-6760.848994891398,-6760.848994891398,-6760.848994891398,0.0,1.0,0.0,0.390625
24,1,-2136.998333843375,-2136.998333843375,-2136.998333843375,-2136.998333843375,0.0,1.0,0.0,0.296875
