name,target_lat,target_lon,baseline_lat,baseline_lon,baseline_confidence,baseline_distance_km,proposal_count,union_patch_count,union_coverage,union_lat,union_lon,union_confidence,union_distance_km,union_delta_km,error
1000269685_e60e9cdfb4_1125_78841376@N00.jpg,32.325436,-64.764404,28.40802955627441,-16.564861297607422,0.0275473594665527,4606.355323456975,4,30,0.1171875,-31.825166702270508,115.73966979980467,0.0091665368527174,19941.970023677182,-15335.614700220212,
1000304467_1a75a200b1_1296_78841376@N00.jpg,32.325436,-64.764404,20.449371337890625,-86.99317932128906,0.0267324782907962,2569.749358537205,2,32,0.125,28.41752243041992,-16.547834396362305,0.0394605956971645,4607.617998138598,-2037.8686396013927,
1001048550_8e4b47d165_1051_78841376@N00.jpg,32.325436,-64.764404,43.50828170776367,7.045223236083984,0.0047798766754567,6224.851219386703,1,256,1.0,43.50828170776367,7.045223236083984,0.0079840747639536,6224.851219386703,0.0,
1005977048_5ccf8b05d3_1201_91728102@N00.jpg,29.976052,122.390356,29.979637145996094,122.38992309570312,0.1078550294041633,0.400825323162766,2,130,0.5078125,29.979637145996094,122.38992309570312,0.049906238913536,0.400825323162766,0.0,
1008804117_ce4e6fef8a_1349_97522422@N00.jpg,46.478536,30.758714,47.4116325378418,28.3698844909668,0.0159914996474981,208.91302128089836,6,160,0.625,47.4116325378418,28.3698844909668,0.0245149154216051,208.91302128089836,0.0,
1008845063_ace4ef829f_1204_97522422@N00.jpg,46.478536,30.758714,50.45074462890625,30.52501678466797,0.03533773496747017,442.025377627414,0,0,0.0,50.45074462890625,30.52501678466797,0.03533773496747017,442.025377627414,0.0,
101220879_0a1be45b79_33_24311489@N00.jpg,42.249915,-87.82711,36.73685073852539,-96.1866683959961,0.03710642084479332,942.7513453429651,0,0,0.0,36.73685073852539,-96.1866683959961,0.03710642084479332,942.7513453429651,0.0,
1014898753_ef4cfaa5d6_1354_96928198@N00.jpg,62.140088,6.074967,44.480770111083984,-79.5195541381836,0.001493455609306693,5540.759684541236,1,256,1.0,54.34101486206055,-109.93521881103516,0.002148211933672428,5916.8789593765005,-376.11927483526415,
1019846234_5e471a10e2_1155_97522422@N00.jpg,42.197494,44.693069,-28.553590774536133,-54.55535125732422,0.005950421094894409,12808.661853670079,1,32,0.125,37.33808898925781,-108.41754913330078,0.0026950822211802006,10760.715471953823,2047.946381716256,
1021054395_ca7cfe55b3_1061_7132415@N03.jpg,-0.400997,-90.704498,-0.572052001953125,-90.15878295898438,0.11827895045280457,63.58988192205969,1,208,0.8125,-0.572052001953125,-90.15878295898438,0.078095443546772,63.58988192205969,0.0,
1023756068_20c3ffc329_1039_70323761@N00.jpg,40.807694,-73.962262,41.8278923034668,-71.4053955078125,0.0053317793644964695,241.78190985130794,0,0,0.0,41.8278923034668,-71.4053955078125,0.0053317793644964695,241.78190985130794,0.0,
1029739337_ff06001d12_1361_7132415@N03.jpg,-0.292509,-90.532493,-0.39936500787734985,-90.29302215576172,0.015104078687727451,29.15822191380748,1,160,0.625,-0.5838199853897095,-90.16191101074219,0.01293167844414711,52.41344664048683,-23.25522472667935,
103385471_f54982a801_29_73293249@N00.jpg,46.006873,7.279987,68.20389556884766,13.479011535644531,0.06551583111286163,2493.5068140188373,0,0,0.0,68.20389556884766,13.479011535644531,0.06551583111286163,2493.5068140188373,0.0,
103398485_db45794d93_36_73293249@N00.jpg,46.21488,7.049309,46.993995666503906,10.807060241699219,0.07049141824245453,299.8238435545654,1,27,0.10546875,46.228111267089844,7.865724086761475,0.04222916439175606,62.826050668995634,236.9977928855698,
103404365_f852148f5b_34_73293249@N00.jpg,46.080783,7.399454,44.8476676940918,-0.5084999799728394,0.0036839540116488934,631.4871280586932,1,256,1.0,44.8476676940918,-0.5084999799728394,0.008337519131600857,631.4871280586932,0.0,
103433117_266c57c2e6_29_73293249@N00.jpg,46.167286,7.099698,46.516998291015625,12.005480766296387,0.05176139995455742,378.52539863223285,2,20,0.078125,46.27531051635742,11.808756828308105,0.020007193088531494,362.4280919205272,16.09730671170564,
103433770_9b651cfd20_32_73293249@N00.jpg,46.167286,7.099698,43.04969787597656,77.03252410888672,0.03873886913061142,5363.48128476523,0,0,0.0,43.04969787597656,77.03252410888672,0.03873886913061142,5363.48128476523,0.0,
103442236_09c8d53dbc_37_73293249@N00.jpg,51.501821,-0.140655,51.5074348449707,-0.07623899728059769,0.01822945848107338,4.501946638190869,0,0,0.0,51.5074348449707,-0.07623899728059769,0.01822945848107338,4.501946638190869,0.0,
103457638_224c119b11_30_73293249@N00.jpg,45.999982,7.298584,45.99570846557617,7.008934020996094,0.02217668667435646,22.379220129316625,0,0,0.0,45.99570846557617,7.008934020996094,0.02217668667435646,22.379220129316625,0.0,
103465274_3e879729e0_33_73293249@N00.jpg,46.08035,7.209918,44.956520080566406,6.8791890144348145,0.0289316363632679,127.59303275462781,11,193,0.75390625,46.27806854248047,6.166461944580078,0.06788910180330276,83.29103890987285,44.30199384475496,
1034783376_9e3db4b81a_1016_70323761@N00.jpg,40.820751,-73.94892,38.047210693359375,-84.49765014648438,0.008036266081035137,956.2607129547458,1,128,0.5,32.377681732177734,-86.30121612548828,0.01745380461215973,1445.6141236298365,-489.3534106750907,
103558896_55f8059bc9_35_73293249@N00.jpg,43.642423,-79.387153,43.647254943847656,-79.38274383544922,0.01176675595343113,0.6438539715518242,3,128,0.5,43.6483154296875,-79.38013458251953,0.011687904596328735,0.864994707746599,-0.2211407361947748,
103574519_62331b624f_24_73293249@N00.jpg,43.642423,-79.387153,43.647953033447266,-79.383544921875,0.01175739336758852,0.6800022117803788,3,158,0.6171875,43.647953033447266,-79.383544921875,0.011458568274974823,0.6800022117803788,0.0,
103575522_cc6a522170_34_73293249@N00.jpg,43.642423,-79.387153,43.64249038696289,-79.38685607910156,0.02919161133468151,0.025039914106178944,0,0,0.0,43.64249038696289,-79.38685607910156,0.02919161133468151,0.025039914106178944,0.0,
103577701_b68e15492e_32_73293249@N00.jpg,43.085294,-79.079509,43.08979415893555,-79.07066345214844,0.030372625216841698,0.8754310292183881,0,0,0.0,43.08979415893555,-79.07066345214844,0.030372625216841698,0.8754310292183881,0.0,
103726410_49bcd2e470_33_73293249@N00.jpg,40.711492,-74.01206,40.75685501098633,-73.98810577392578,0.007302244193851948,5.432956594273223,0,0,0.0,40.75685501098633,-73.98810577392578,0.007302244193851948,5.432956594273223,0.0,
1038069722_cab11140a5_1378_75452460@N00.jpg,48.214093,16.935553,48.2282829284668,15.332976341247559,0.038562700152397156,118.73437717308337,1,128,0.5,48.91660690307617,11.852703094482422,0.04500211775302887,382.0135393991285,-263.2791622260451,
103908913_8ef41889e3_36_11114422@N00.jpg,51.195697,-2.27992,51.85016632080078,-0.5447030067443848,0.057113539427518845,140.38158431915798,2,162,0.6328125,51.85016632080078,-0.5447030067443848,0.04836675152182579,140.38158431915798,0.0,
103910409_51606239db_42_11114422@N00.jpg,51.195697,-2.27992,51.85016632080078,-0.5447030067443848,0.06329818069934845,140.38158431915798,1,112,0.4375,51.85016632080078,-0.5447030067443848,0.05335026606917381,140.38158431915798,0.0,
104122769_f122c548dc_40_19355699@N00.jpg,-16.663606,145.563537,-33.84309768676758,151.24063110351562,0.021366754546761513,1992.7316987019124,0,0,0.0,-33.84309768676758,151.24063110351562,0.021366754546761513,1992.7316987019124,0.0,
1041241079_904c456418_1430_7132415@N03.jpg,-1.382083,-78.432769,43.35005569458008,-4.052012920379639,0.013915513642132282,8859.849285173923,2,256,1.0,43.35005569458008,-4.052012920379639,0.023846661671996117,8859.849285173923,0.0,
104132709_97b998c989_41_19355699@N00.jpg,-33.861328,151.209039,-33.85724639892578,151.2146453857422,0.014685436151921749,0.6884581544528126,0,0,0.0,-33.85724639892578,151.2146453857422,0.014685436151921749,0.6884581544528126,0.0,
